data,1 GBP
2019-10-18,4.9671
2019-10-21,4.9709
2019-10-22,4.9700
2019-10-23,4.9449
2019-10-24,4.9551
2019-10-25,4.9362
2019-10-28,4.9504
2019-10-29,4.9487
2019-10-30,4.9472
2019-10-31,4.9405
2019-11-04,4.9229
2019-11-05,4.9399
2019-11-06,4.9607
2019-11-07,4.9548
2019-11-08,4.9476
2019-11-12,4.9782
2019-11-13,4.9991
2019-11-14,5.0130
2019-11-15,5.0014
2019-11-18,5.0257
2019-11-19,5.0238
2019-11-20,5.0081
2019-11-21,5.0144
2019-11-22,5.0017
2019-11-25,5.0281
2019-11-26,5.0224
2019-11-27,5.0362
2019-11-28,5.0775
2019-11-29,5.0645
2019-12-02,5.0411
2019-12-03,5.0270
2019-12-04,5.0450
2019-12-05,5.0651
2019-12-06,5.0527
2019-12-09,5.0915
2019-12-10,5.0945
2019-12-11,5.0798
2019-12-12,5.0756
2019-12-13,5.1292
2019-12-16,5.1083
2019-12-17,5.0414
2019-12-18,5.0226
2019-12-19,5.0170
2019-12-20,4.9958
2019-12-23,4.9952
2019-12-24,4.9765
2019-12-27,5.0019
2019-12-30,4.9883
2019-12-31,4.9971
,
kod ISO,GBP
nazwa waluty,funt szterling
liczba jednostek,1
