data,1 GBP
2016-07-29,5.1774
2016-08-01,5.1502
2016-08-02,5.1378
2016-08-03,5.1431
2016-08-04,5.1303
2016-08-05,5.0636
2016-08-08,5.0491
2016-08-09,5.0068
2016-08-10,4.9906
2016-08-11,4.9604
2016-08-12,4.9539
2016-08-16,4.9171
2016-08-17,4.9518
2016-08-18,4.9790
2016-08-19,4.9726
2016-08-22,4.9959
2016-08-23,5.0197
2016-08-24,5.0463
2016-08-25,5.0463
2016-08-26,5.0641
2016-08-29,5.0838
2016-08-30,5.0781
2016-08-31,5.1392
2016-09-01,5.1839
2016-09-02,5.1959
2016-09-05,5.2047
2016-09-06,5.1856
2016-09-07,5.1571
2016-09-08,5.1123
2016-09-09,5.1052
2016-09-12,5.1326
2016-09-13,5.1524
2016-09-14,5.1157
2016-09-15,5.0977
2016-09-16,5.0845
2016-09-19,5.0334
2016-09-20,5.0028
2016-09-21,5.0074
2016-09-22,4.9896
2016-09-23,4.9842
2016-09-26,4.9560
2016-09-27,4.9573
2016-09-28,4.9717
2016-09-29,4.9837
2016-09-30,4.9962
2016-10-03,4.9262
2016-10-04,4.9139
2016-10-05,4.8783
2016-10-06,4.8873
2016-10-07,4.7872
2016-10-10,4.7576
2016-10-11,4.7275
2016-10-12,4.7618
2016-10-13,4.7651
2016-10-14,4.7603
2016-10-17,4.7803
2016-10-18,4.7946
2016-10-19,4.8397
2016-10-20,4.8296
2016-10-21,4.8665
2016-10-24,4.8570
2016-10-25,4.8391
2016-10-26,4.8268
2016-10-27,4.8579
2016-10-28,4.8294
2016-10-31,4.8061
2016-11-02,4.7780
2016-11-03,4.8165
2016-11-04,4.8502
2016-11-07,4.8510
2016-11-08,4.8662
2016-11-09,4.8727
2016-11-10,4.9390
2016-11-14,5.0919
2016-11-15,5.0734
2016-11-16,5.1564
2016-11-17,5.1630
2016-11-18,5.2049
2016-11-21,5.1497
2016-11-22,5.1792
2016-11-23,5.1465
2016-11-24,5.2176
2016-11-25,5.1917
2016-11-28,5.1654
2016-11-29,5.2163
2016-11-30,5.2112
2016-12-01,5.2637
2016-12-02,5.3115
2016-12-05,5.3653
2016-12-06,5.3340
2016-12-07,5.1955
2016-12-08,5.2126
2016-12-09,5.2701
2016-12-12,5.2958
2016-12-13,5.3306
2016-12-14,5.2876
2016-12-15,5.3021
2016-12-16,5.2532
2016-12-19,5.2662
2016-12-20,5.2621
2016-12-21,5.2383
2016-12-22,5.2072
2016-12-23,5.1815
2016-12-27,5.1681
2016-12-28,5.1768
2016-12-29,5.1694
2016-12-30,5.1445
,
kod ISO,GBP
nazwa waluty,funt szterling
liczba jednostek,1
